Order23	POAexemptCode	Description
33129	S06.8A5D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"
33130	S06.8A5S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"
33133	S06.8A6D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"
33134	S06.8A6S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"
33145	S06.8A9D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter"
33146	S06.8A9S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, sequela"
33141	S06.8AAD	"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"
33142	S06.8AAS	"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, sequela"
33224	S06.9XAD	"Unspecified intracranial injury with loss of consciousness status unknown, subsequent encounter"
33225	S06.9XAS	"Unspecified intracranial injury with loss of consciousness status unknown, sequela"
76917	T43.651D	"Poisoning by methamphetamines accidental (unintentional), subsequent encounter"
76918	T43.651S	"Poisoning by methamphetamines accidental (unintentional), sequela"
76921	T43.652D	"Poisoning by methamphetamines intentional self-harm, subsequent encounter"
76922	T43.652S	"Poisoning by methamphetamines intentional self-harm, sequela"
76925	T43.653D	"Poisoning by methamphetamines, assault, subsequent encounter"
76926	T43.653S	"Poisoning by methamphetamines, assault, sequela"
76929	T43.654D	"Poisoning by methamphetamines, undetermined, subsequent encounter"
76930	T43.654S	"Poisoning by methamphetamines, undetermined, sequela"
76933	T43.655D	"Adverse effect of methamphetamines, subsequent encounter"
76934	T43.655S	"Adverse effect of methamphetamines, sequela"
76937	T43.656D	"Underdosing of methamphetamines, subsequent encounter"
76938	T43.656S	"Underdosing of methamphetamines, sequela"
85718	V20.01XA	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85719	V20.01XD	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85720	V20.01XS	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela"
85722	V20.09XA	"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85723	V20.09XD	"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85724	V20.09XS	"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela"
85727	V20.11XA	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85728	V20.11XD	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85729	V20.11XS	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela"
85731	V20.19XA	"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85732	V20.19XD	"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85733	V20.19XS	"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela"
85736	V20.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85737	V20.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85738	V20.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, sequela"
85740	V20.29XA	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
85741	V20.29XD	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
85742	V20.29XS	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, sequela"
85745	V20.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, initial encounter"
85746	V20.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, subsequent encounter"
85747	V20.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, sequela"
85749	V20.39XA	"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, initial encounter"
85750	V20.39XD	"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, subsequent encounter"
85751	V20.39XS	"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, sequela"
85754	V20.41XA	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter"
85755	V20.41XD	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85756	V20.41XS	"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, sequela"
85758	V20.49XA	"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter"
85759	V20.49XD	"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85760	V20.49XS	"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, sequela"
85763	V20.51XA	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter"
85764	V20.51XD	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85765	V20.51XS	"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, sequela"
85767	V20.59XA	"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter"
85768	V20.59XD	"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85769	V20.59XS	"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, sequela"
85772	V20.91XA	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, initial encounter"
85773	V20.91XD	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85774	V20.91XS	"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, sequela"
85776	V20.99XA	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, initial encounter"
85777	V20.99XD	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
85778	V20.99XS	"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, sequela"
85782	V21.01XA	"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, initial encounter"
85783	V21.01XD	"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85784	V21.01XS	"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, sequela"
85786	V21.09XA	"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, initial encounter"
85787	V21.09XD	"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85788	V21.09XS	"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, sequela"
85791	V21.11XA	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, initial encounter"
85792	V21.11XD	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85793	V21.11XS	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, sequela"
85795	V21.19XA	"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, initial encounter"
85796	V21.19XD	"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85797	V21.19XS	"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, sequela"
85800	V21.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, initial encounter"
85801	V21.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85802	V21.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, sequela"
85804	V21.29XA	"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, initial encounter"
85805	V21.29XD	"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
85806	V21.29XS	"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, sequela"
85809	V21.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, initial encounter"
85810	V21.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, subsequent encounter"
85811	V21.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, sequela"
85813	V21.39XA	"Person boarding or alighting other motorcycle injured in collision with pedal cycle, initial encounter"
85814	V21.39XD	"Person boarding or alighting other motorcycle injured in collision with pedal cycle, subsequent encounter"
85815	V21.39XS	"Person boarding or alighting other motorcycle injured in collision with pedal cycle, sequela"
85818	V21.41XA	"Electric (assisted) bicycle driver injured in collision with pedal cycle in traffic accident, initial encounter"
85819	V21.41XD	"Electric (assisted) bicycle driver injured in collision with pedal cycle in traffic accident, subsequent encounter"
85820	V21.41XS	"Electric (assisted) bicycle driver injured in collision with pedal cycle in traffic accident, sequela"
85822	V21.49XA	"Other motorcycle driver injured in collision with pedal cycle in traffic accident, initial encounter"
85823	V21.49XD	"Other motorcycle driver injured in collision with pedal cycle in traffic accident, subsequent encounter"
85824	V21.49XS	"Other motorcycle driver injured in collision with pedal cycle in traffic accident, sequela"
85827	V21.51XA	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in traffic accident, initial encounter"
85828	V21.51XD	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in traffic accident, subsequent encounter"
85829	V21.51XS	"Electric (assisted) bicycle passenger injured in collision with pedal cycle in traffic accident, sequela"
85831	V21.59XA	"Other motorcycle passenger injured in collision with pedal cycle in traffic accident, initial encounter"
85832	V21.59XD	"Other motorcycle passenger injured in collision with pedal cycle in traffic accident, subsequent encounter"
85833	V21.59XS	"Other motorcycle passenger injured in collision with pedal cycle in traffic accident, sequela"
85836	V21.91XA	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in traffic accident, initial encounter"
85837	V21.91XD	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in traffic accident, subsequent encounter"
85838	V21.91XS	"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in traffic accident, sequela"
85840	V21.99XA	"Unspecified rider of other motorcycle injured in collision with pedal cycle in traffic accident, initial encounter"
85841	V21.99XD	"Unspecified rider of other motorcycle injured in collision with pedal cycle in traffic accident, subsequent encounter"
85842	V21.99XS	"Unspecified rider of other motorcycle injured in collision with pedal cycle in traffic accident, sequela"
85846	V22.01XA	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85847	V22.01XD	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85848	V22.01XS	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85850	V22.09XA	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85851	V22.09XD	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85852	V22.09XS	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85855	V22.11XA	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85856	V22.11XD	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85857	V22.11XS	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85859	V22.19XA	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85860	V22.19XD	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85861	V22.19XS	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85864	V22.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85865	V22.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85866	V22.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85868	V22.29XA	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
85869	V22.29XD	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
85870	V22.29XS	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
85873	V22.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in collision with two- or three-wheeled motor vehicle, initial encounter"
85874	V22.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
85875	V22.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in collision with two- or three-wheeled motor vehicle, sequela"
85877	V22.39XA	"Person boarding or alighting other motorcycle injured in collision with two- or three-wheeled motor vehicle, initial encounter"
85878	V22.39XD	"Person boarding or alighting other motorcycle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
85879	V22.39XS	"Person boarding or alighting other motorcycle injured in collision with two- or three-wheeled motor vehicle, sequela"
85882	V22.41XA	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85883	V22.41XD	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85884	V22.41XS	"Electric (assisted) bicycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85886	V22.49XA	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85887	V22.49XD	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85888	V22.49XS	"Other motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85891	V22.51XA	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85892	V22.51XD	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85893	V22.51XS	"Electric (assisted) bicycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85895	V22.59XA	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85896	V22.59XD	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85897	V22.59XS	"Other motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85900	V22.91XA	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85901	V22.91XD	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85902	V22.91XS	"Unspecified electric (assisted) bicycle rider injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85904	V22.99XA	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
85905	V22.99XD	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
85906	V22.99XS	"Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
85910	V23.01XA	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85911	V23.01XD	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85912	V23.01XS	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85914	V23.09XA	"Other motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85915	V23.09XD	"Other motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85916	V23.09XS	"Other motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85919	V23.11XA	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85920	V23.11XD	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85921	V23.11XS	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85923	V23.19XA	"Other motorcycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85924	V23.19XD	"Other motorcycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85925	V23.19XS	"Other motorcycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85928	V23.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85929	V23.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85930	V23.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85932	V23.29XA	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
85933	V23.29XD	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
85934	V23.29XS	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
85937	V23.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in collision with car, pick-up truck or van, initial encounter"
85938	V23.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in collision with car, pick-up truck or van, subsequent encounter"
85939	V23.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in collision with car, pick-up truck or van, sequela"
85941	V23.39XA	"Person boarding or alighting other motorcycle injured in collision with car, pick-up truck or van, initial encounter"
85942	V23.39XD	"Person boarding or alighting other motorcycle injured in collision with car, pick-up truck or van, subsequent encounter"
85943	V23.39XS	"Person boarding or alighting other motorcycle injured in collision with car, pick-up truck or van, sequela"
85946	V23.41XA	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85947	V23.41XD	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85948	V23.41XS	"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in traffic accident, sequela"
85950	V23.49XA	"Other motorcycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85951	V23.49XD	"Other motorcycle driver injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85952	V23.49XS	"Other motorcycle driver injured in collision with car, pick-up truck or van in traffic accident, sequela"
85955	V23.51XA	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85956	V23.51XD	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85957	V23.51XS	"Electric (assisted) bicycle passenger injured in collision with car, pick-up truck or van in traffic accident, sequela"
85959	V23.59XA	"Other motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85960	V23.59XD	"Other motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85961	V23.59XS	"Other motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident, sequela"
85964	V23.91XA	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85965	V23.91XD	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85966	V23.91XS	"Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in traffic accident, sequela"
85968	V23.99XA	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
85969	V23.99XD	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
85970	V23.99XS	"Unspecified rider of other motorcycle injured in collision with car, pick-up truck or van in traffic accident, sequela"
85974	V24.01XA	"Electric (assisted) bicycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85975	V24.01XD	"Electric (assisted) bicycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85976	V24.01XS	"Electric (assisted) bicycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
85978	V24.09XA	"Other motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85979	V24.09XD	"Other motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85980	V24.09XS	"Other motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
85983	V24.11XA	"Electric (assisted) bicycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85984	V24.11XD	"Electric (assisted) bicycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85985	V24.11XS	"Electric (assisted) bicycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
85987	V24.19XA	"Other motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85988	V24.19XD	"Other motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85989	V24.19XS	"Other motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
85992	V24.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85993	V24.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85994	V24.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
85996	V24.29XA	"Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
85997	V24.29XD	"Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
85998	V24.29XS	"Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
