Order23	POAexemptCode	Description
11864	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
11865	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
11866	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11867	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11868	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
11870	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
11871	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
11872	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11873	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11874	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
11875	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
11877	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
11878	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
11879	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
11880	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
11881	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
11883	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
11885	I69.110	Attention and concentration deficit following nontraumatic intracerebral hemorrhage
11886	I69.111	Memory deficit following nontraumatic intracerebral hemorrhage
11887	I69.112	Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
11888	I69.113	Psychomotor deficit following nontraumatic intracerebral hemorrhage
11889	I69.114	Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
11890	I69.115	Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
11891	I69.118	Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11892	I69.119	Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11894	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
11895	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
11896	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
11897	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
11898	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
11900	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11901	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11902	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11903	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11904	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11906	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11907	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11908	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11909	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11910	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11912	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
11913	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
11914	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11915	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11916	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
11918	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
11919	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
11920	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11921	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11922	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
11923	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
11925	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
11926	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
11927	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
11928	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
11929	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
11931	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
11933	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
11934	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
11935	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
11936	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
11937	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
11938	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
11939	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11940	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11942	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
11943	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
11944	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
11945	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
11946	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
11948	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11949	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11950	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11951	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11952	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11954	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11955	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11956	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11957	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11958	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11960	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
11961	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
11962	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11963	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11964	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
11966	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
11967	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
11968	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11969	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11970	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
11971	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
11973	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
11974	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
11975	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
11976	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
11977	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
11979	I69.30	Unspecified sequelae of cerebral infarction
11981	I69.310	Attention and concentration deficit following cerebral infarction
11982	I69.311	Memory deficit following cerebral infarction
11983	I69.312	Visuospatial deficit and spatial neglect following cerebral infarction
11984	I69.313	Psychomotor deficit following cerebral infarction
11985	I69.314	Frontal lobe and executive function deficit following cerebral infarction
11986	I69.315	Cognitive social or emotional deficit following cerebral infarction
11987	I69.318	Other symptoms and signs involving cognitive functions following cerebral infarction
11988	I69.319	Unspecified symptoms and signs involving cognitive functions following cerebral infarction
11990	I69.320	Aphasia following cerebral infarction
11991	I69.321	Dysphasia following cerebral infarction
11992	I69.322	Dysarthria following cerebral infarction
11993	I69.323	Fluency disorder following cerebral infarction
11994	I69.328	Other speech and language deficits following cerebral infarction
11996	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
11997	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
11998	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
11999	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
12000	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
12002	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
12003	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
12004	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
12005	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
12006	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
12008	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
12009	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
12010	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
12011	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
12012	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
12014	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
12015	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
12016	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
12017	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
12018	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
12019	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
12021	I69.390	Apraxia following cerebral infarction
12022	I69.391	Dysphagia following cerebral infarction
12023	I69.392	Facial weakness following cerebral infarction
12024	I69.393	Ataxia following cerebral infarction
12025	I69.398	Other sequelae of cerebral infarction
12027	I69.80	Unspecified sequelae of other cerebrovascular disease
12029	I69.810	Attention and concentration deficit following other cerebrovascular disease
12030	I69.811	Memory deficit following other cerebrovascular disease
12031	I69.812	Visuospatial deficit and spatial neglect following other cerebrovascular disease
12032	I69.813	Psychomotor deficit following other cerebrovascular disease
12033	I69.814	Frontal lobe and executive function deficit following other cerebrovascular disease
12034	I69.815	Cognitive social or emotional deficit following other cerebrovascular disease
12035	I69.818	Other symptoms and signs involving cognitive functions following other cerebrovascular disease
12036	I69.819	Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
12038	I69.820	Aphasia following other cerebrovascular disease
12039	I69.821	Dysphasia following other cerebrovascular disease
12040	I69.822	Dysarthria following other cerebrovascular disease
12041	I69.823	Fluency disorder following other cerebrovascular disease
12042	I69.828	Other speech and language deficits following other cerebrovascular disease
12044	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
12045	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
12046	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
12047	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
12048	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
12050	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
12051	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
12052	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
12053	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
12054	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
12056	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
12057	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
12058	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
12059	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
12060	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
12062	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
12063	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
12064	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
12065	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
12066	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
12067	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
12069	I69.890	Apraxia following other cerebrovascular disease
12070	I69.891	Dysphagia following other cerebrovascular disease
12071	I69.892	Facial weakness following other cerebrovascular disease
12072	I69.893	Ataxia following other cerebrovascular disease
12073	I69.898	Other sequelae of other cerebrovascular disease
12075	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
12086	I69.920	Aphasia following unspecified cerebrovascular disease
12087	I69.921	Dysphasia following unspecified cerebrovascular disease
12088	I69.922	Dysarthria following unspecified cerebrovascular disease
12089	I69.923	Fluency disorder following unspecified cerebrovascular disease
12090	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
12092	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
12093	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
12094	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
12095	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
12096	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
12098	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
12099	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
12100	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
12101	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
12102	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
12104	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
12105	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
12106	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
12107	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
12108	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
12110	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
12111	I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
12112	I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
12113	I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
12114	I69.965	"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
12115	I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
12117	I69.990	Apraxia following unspecified cerebrovascular disease
12118	I69.991	Dysphagia following unspecified cerebrovascular disease
12119	I69.992	Facial weakness following unspecified cerebrovascular disease
12120	I69.993	Ataxia following unspecified cerebrovascular disease
12121	I69.998	Other sequelae following unspecified cerebrovascular disease
22429	M84.750D	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with routine healing"
22430	M84.750G	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with delayed healing"
22431	M84.750K	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion"
22432	M84.750P	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with malunion"
22433	M84.750S	"Atypical femoral fracture, unspecified, sequela"
22436	M84.751D	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
22437	M84.751G	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
22438	M84.751K	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
22439	M84.751P	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
22440	M84.751S	"Incomplete atypical femoral fracture, right leg, sequela"
22443	M84.752D	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
22444	M84.752G	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
22445	M84.752K	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
22446	M84.752P	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
22447	M84.752S	"Incomplete atypical femoral fracture, left leg, sequela"
22450	M84.753D	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
22451	M84.753G	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
22452	M84.753K	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
22453	M84.753P	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
22454	M84.753S	"Incomplete atypical femoral fracture, unspecified leg, sequela"
22457	M84.754D	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
22458	M84.754G	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
22459	M84.754K	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
22460	M84.754P	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
22461	M84.754S	"Complete transverse atypical femoral fracture, right leg, sequela"
22464	M84.755D	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
22465	M84.755G	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
22466	M84.755K	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
22467	M84.755P	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
22468	M84.755S	"Complete transverse atypical femoral fracture, left leg, sequela"
22471	M84.756D	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
22472	M84.756G	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
22473	M84.756K	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
22474	M84.756P	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
22475	M84.756S	"Complete transverse atypical femoral fracture, unspecified leg, sequela"
22478	M84.757D	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
22479	M84.757G	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
22480	M84.757K	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
22481	M84.757P	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
22482	M84.757S	"Complete oblique atypical femoral fracture, right leg, sequela"
22485	M84.758D	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
22486	M84.758G	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
22487	M84.758K	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
22488	M84.758P	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
22489	M84.758S	"Complete oblique atypical femoral fracture, left leg, sequela"
22492	M84.759D	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
22493	M84.759G	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
22494	M84.759K	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
22495	M84.759P	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
22496	M84.759S	"Complete oblique atypical femoral fracture, unspecified leg, sequela"
24021	M97.01XD	"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
24022	M97.01XS	"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
24025	M97.02XD	"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
24026	M97.02XS	"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
24030	M97.11XD	"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"
24031	M97.11XS	"Periprosthetic fracture around internal prosthetic right knee joint, sequela"
24034	M97.12XD	"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
24035	M97.12XS	"Periprosthetic fracture around internal prosthetic left knee joint, sequela"
24039	M97.21XD	"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
24040	M97.21XS	"Periprosthetic fracture around internal prosthetic right ankle joint, sequela"
24043	M97.22XD	"Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"
24044	M97.22XS	"Periprosthetic fracture around internal prosthetic left ankle joint, sequela"
24048	M97.31XD	"Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"
24049	M97.31XS	"Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"
24052	M97.32XD	"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
24053	M97.32XS	"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"
24057	M97.41XD	"Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"
24058	M97.41XS	"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
24061	M97.42XD	"Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"
24062	M97.42XS	"Periprosthetic fracture around internal prosthetic left elbow joint, sequela"
24065	M97.8XXD	"Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"
24066	M97.8XXS	"Periprosthetic fracture around other internal prosthetic joint, sequela"
24069	M97.9XXD	"Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"
24070	M97.9XXS	"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
25311	O09.00	"Supervision of pregnancy with history of infertility, unspecified trimester"
25312	O09.01	"Supervision of pregnancy with history of infertility, first trimester"
25313	O09.02	"Supervision of pregnancy with history of infertility, second trimester"
25314	O09.03	"Supervision of pregnancy with history of infertility, third trimester"
25316	O09.10	"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
25317	O09.11	"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
25318	O09.12	"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
25319	O09.13	"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
25321	O09.A0	"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
25322	O09.A1	"Supervision of pregnancy with history of molar pregnancy, first trimester"
25323	O09.A2	"Supervision of pregnancy with history of molar pregnancy, second trimester"
25324	O09.A3	"Supervision of pregnancy with history of molar pregnancy, third trimester"
25327	O09.211	"Supervision of pregnancy with history of pre-term labor, first trimester"
25328	O09.212	"Supervision of pregnancy with history of pre-term labor, second trimester"
25329	O09.213	"Supervision of pregnancy with history of pre-term labor, third trimester"
25330	O09.219	"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
25332	O09.291	"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
25333	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
25334	O09.293	"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
25335	O09.299	"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
25337	O09.30	"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
25338	O09.31	"Supervision of pregnancy with insufficient antenatal care, first trimester"
25339	O09.32	"Supervision of pregnancy with insufficient antenatal care, second trimester"
25340	O09.33	"Supervision of pregnancy with insufficient antenatal care, third trimester"
25342	O09.40	"Supervision of pregnancy with grand multiparity, unspecified trimester"
25343	O09.41	"Supervision of pregnancy with grand multiparity, first trimester"
25344	O09.42	"Supervision of pregnancy with grand multiparity, second trimester"
25345	O09.43	"Supervision of pregnancy with grand multiparity, third trimester"
25348	O09.511	"Supervision of elderly primigravida, first trimester"
25349	O09.512	"Supervision of elderly primigravida, second trimester"
25350	O09.513	"Supervision of elderly primigravida, third trimester"
25351	O09.519	"Supervision of elderly primigravida, unspecified trimester"
25353	O09.521	"Supervision of elderly multigravida, first trimester"
25354	O09.522	"Supervision of elderly multigravida, second trimester"
25355	O09.523	"Supervision of elderly multigravida, third trimester"
